,DK_SS,DK_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,JS_PERSON,end_day
525,5,핸드볼경기장,문화예술행사,2021 정승환 연말 콘서트,20211214,5217.0,Tue
526,3,KSPO DOME(체조경기장),문화예술행사,2021 TWICE 단독콘서트,20211220,6232.0,Mon
527,9,올림픽홀,문화예술행사,조선 TOP 싱어 콘서트,20211220,6226.0,Mon
528,5,핸드볼경기장,문화예술행사,2021 장범준 연말 콘서트,20211220,5950.0,Mon
529,10,뮤즈라이브,문화예술행사,제아x팟캐스트비혼세 토크콘서트,20211225,162.0,Sat
530,3,KSPO DOME(체조경기장),문화예술행사,슈퍼밴드2 갈라 콘서트,20211127,6726.0,Sat
531,9,올림픽홀,문화예술행사,2021 김희재 단독 콘서트,20211030,5041.0,Sat
532,9,올림픽홀,문화예술행사,2021 폴킴 전국투어 콘서트-서울_기획공연,20211103,4470.0,Wed
533,9,올림픽홀,문화예술행사,"싱어게인 TOP3 '이승윤,정홍일,이무진' 전국투어 콘서트 - 서울",20211110,5094.0,Wed
534,9,올림픽홀,문화예술행사,2021 대한민국 해군 호국 음악회,20211108,854.0,Mon
535,9,올림픽홀,문화예술행사,"윤종신, 먼데이키즈 연말콘서트",20220101,3358.0,Sat
536,3,KSPO DOME(체조경기장),문화예술행사,스트릿 우먼 파이터 [ON THE STAGE] 전국투어 앵콜 콘서트,20220101,5829.0,Sat
537,5,핸드볼경기장,문화예술행사,BTOB 공식팬클럽 MELODY 4기 공식팬미팅,20211231,4336.0,Fri
538,9,올림픽홀,대중공연,2021 WINNER CONCERT(가제),20211119,4309.0,Fri
539,7,우리금융아트홀,문화예술행사,뮤지컬 헬로카봇 시즌6,20220103,8239.0,Mon
540,9,올림픽홀,문화예술행사,ATEEZ 2022 World Tour in 서울,20220108,5763.0,Sat
541,9,올림픽홀,문화예술행사,2022 SF9 콘서트,20220122,7852.0,Sat
542,9,올림픽홀,대중공연,2022 이찬원 앵콜 콘서트,20220129,7887.0,Sat
543,10,뮤즈라이브,문화예술행사,2021 제30회 루체른동계유니버시아드대회 대한민국 선수단 결단식,20211124,60.0,Wed
544,9,올림픽홀,문화예술행사,(가제) 2021 자우림 앨범발매 기념 단독 콘서트,20211127,5100.0,Sat
545,9,올림픽홀,문화예술행사,2021 어반자카파 연말 콘서트 ‘겨울’(가제),20211204,3903.0,Sat
546,3,KSPO DOME(체조경기장),문화예술행사,쇼미더머니10페스티벌,20211211,8227.0,Sat
547,5,핸드볼경기장,문화예술행사,2021 WOODZ 단독 콘서트,20211211,2229.0,Sat
548,9,올림픽홀,문화예술행사,(가제) 2021 윤하 연말 단독 콘서트,20211210,5767.0,Fri
549,9,올림픽홀,대중공연,라포엠(LA POEM) 두 번째 단독 콘서트,20220204,2994.0,Fri
550,3,KSPO DOME(체조경기장),문화예술행사,2021 나훈아 송년콘서트(가제),20211213,19059.0,Mon
551,10,뮤즈라이브,문화예술행사,2021 대한민국 스포츠영웅 헌액식,20211221,60.0,Tue
552,5,핸드볼경기장,공공행사,제20대대통령선거,20220305,1030.0,Sat
553,9,올림픽홀,문화예술행사,2022 국카스텐 상반기 단독 콘서트,20220326,2421.0,Sat
554,5,핸드볼경기장,문화예술행사,2021-22 Forestella Concert - The Royal in Seoul Encore Concert,20220219,4040.0,Sat
555,9,올림픽홀,문화예술행사,2022 윤하 앵콜 콘서트(기획공연),20220309,3933.0,Wed
556,9,올림픽홀,대중공연,청춘 콘썰트,20220217,6056.0,Thu
557,9,올림픽홀,문화예술행사,2022년 투모로우바이투게더(TXT) 팬미팅,20220305,4377.0,Sat
558,5,핸드볼경기장,문화예술행사,2022 몬스타엑스 콘서트,20220430,10533.0,Sat
559,9,올림픽홀,대중공연,2022 WINNER CONCERT (가제),20220430,5497.0,Sat
560,7,우리금융아트홀,대중공연,2022 Theatre 이문세 서울,20220406,2208.0,Wed
561,5,핸드볼경기장,문화예술행사,아스트로 아로하 팬미팅,20220407,3199.0,Thu
562,5,핸드볼경기장,문화예술행사,2022 성시경 팬미팅,20220414,2608.0,Thu
563,9,올림픽홀,대중공연,2022 빅마마 전국투어 콘서트,20220420,3765.0,Wed
564,9,올림픽홀,문화예술행사,2022 Stray Kids 팬미팅,20220212,4523.0,Sat
565,9,올림픽홀,문화예술행사,2022 이승윤 첫 단독콘서트 - 서울,20220319,5739.0,Sat
566,10,뮤즈라이브,문화예술행사,하성운 쇼케이스,20220415,100.0,Fri
567,21,88잔디마당,문화예술행사,WONDERLAND FESTIVAL 2022,20220430,3720.0,Sat
568,23,한얼광장,문화예술행사,WONDERLAND FESTIVAL 2022,20220430,3720.0,Sat
569,9,올림픽홀,문화예술행사,2022 싱어게인2 콘서트,20220416,4351.0,Sat
570,9,올림픽홀,문화예술행사,풍류대장 TOP10 전국투어 콘서트,20220505,8664.0,Thu
571,21,88잔디마당,문화예술행사,뷰티풀 민트 라이프 2022,20220514,17829.0,Sat
572,23,한얼광장,문화예술행사,뷰티풀 민트 라이프 2022,20220509,17829.0,Mon
573,9,올림픽홀,문화예술행사,(가제) 2022 볼빨간사춘기 상반기 단독 콘서트,20220512,5310.0,Thu
574,5,핸드볼경기장,문화예술행사,2017 조항조 장윤정 첫번째 콘서트 - 서울공연,20170324,2419.0,Fri
575,21,88잔디마당,문화예술행사,2017 조이올팍 페스티벌,20170918,2419.0,Mon
576,19,평화의광장,공공행사,2018 평창 동계패럴림픽대회 합화 행사,20180301,534.0,Thu
577,8,K-아트홀,대중공연,"태권도공연""킥스""연습실 대관",20171216,157.0,Sat
578,21,88잔디마당,문화예술행사,구스아일랜드 옥토버베스트 뮤직페스티벌,20181026,2419.0,Fri
579,23,한얼광장,문화예술행사,2017 Korea Musical Festival,20170830,2419.0,Wed
580,10,뮤즈라이브,문화예술행사,KUSF 런앤런 페스티벌,20171118,357.0,Sat
581,9,올림픽홀,문화예술행사,2018 크러쉬 단독 콘서트,20181103,2419.0,Sat
